kpointindex: 1 K=      0.000000     -3.627599      0.000000
   mode=   1   Re <S_r>  0.00000083 -0.00003892  0.36450546   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3645   Im|<S_r>|  0.0000   E_r=  11.03000720  0.00000000
   mode=   2   Re <S_r> -0.00000071  0.00003367  0.47262124   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4726   Im|<S_r>|  0.0000   E_r=  11.01304760 -0.00000000
   mode=   3   Re <S_r> -0.00000781  0.00036773  0.18493121   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1849   Im|<S_r>|  0.0000   E_r=  10.62718080 -0.00000000
   mode=   4   Re <S_r>  0.00000623 -0.00029341 -0.89677237   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.8968   Im|<S_r>|  0.0000   E_r=  10.59169070 -0.00000000
   mode=   5   Re <S_r>  0.00000526 -0.00024782 -0.22986248   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2299   Im|<S_r>|  0.0000   E_r=  10.53324371 -0.00000000
   mode=   6   Re <S_r> -0.00000006  0.00000267 -0.61121505   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.6112   Im|<S_r>|  0.0000   E_r=  10.51164492 -0.00000000
   mode=   7   Re <S_r>  0.00000047 -0.00002191 -0.66772854   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.6677   Im|<S_r>|  0.0000   E_r=  10.50059718 -0.00000000
   mode=   8   Re <S_r> -0.00000358  0.00016878 -0.84837141   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.8484   Im|<S_r>|  0.0000   E_r=  10.49296500 -0.00000000
   mode=   9   Re <S_r> -0.00000905  0.00042611 -0.04555541   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0456   Im|<S_r>|  0.0000   E_r=  10.24872430  0.00000000
   mode=  10   Re <S_r>  0.00000973 -0.00045851 -0.75570960   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.7557   Im|<S_r>|  0.0000   E_r=  10.19907234  0.00000000
   mode=  11   Re <S_r> -0.00000519  0.00024434 -0.31316824   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3132   Im|<S_r>|  0.0000   E_r=  10.08778973  0.00000000
   mode=  12   Re <S_r>  0.00000469 -0.00022114 -0.47761179   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4776   Im|<S_r>|  0.0000   E_r=  10.00157577 -0.00000000
   mode=  13   Re <S_r>  0.00000306 -0.00014416 -0.37646033   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3765   Im|<S_r>|  0.0000   E_r=   9.98053218 -0.00000000
