   i   j  da  db  dc       Dijx             Dijy            Dijz           Jij
  0  0  1  0  0      0.00000000      0.00000000      0.00000000     -0.11000000
  0  0 -1  0  0      0.00000000      0.00000000      0.00000000     -0.11000000
  0  0  0  1  0      0.00000000      0.00000000      0.00000000     -0.11000000
  0  0  0 -1  0      0.00000000      0.00000000      0.00000000     -0.11000000
  0  0 -1 -1  0      0.00000000      0.00000000      0.00000000     -0.11000000
  0  0  1  1  0      0.00000000      0.00000000      0.00000000     -0.11000000
  0  0  0  0  1      0.00000000      0.00000000      0.00000000     -0.00131167
  0  0  0  0 -1      0.00000000      0.00000000      0.00000000     -0.00131167
  0  0  1  0  1      0.00000000      0.00000000      0.00000000     -0.00200000
  0  0  0  1  1      0.00000000      0.00000000      0.00000000     -0.00200000
  0  0 -1 -1  1      0.00000000      0.00000000      0.00000000     -0.00200000
  0  0 -1  0 -1      0.00000000      0.00000000      0.00000000     -0.00200000
  0  0  0 -1 -1      0.00000000      0.00000000      0.00000000     -0.00200000
  0  0  1  1 -1      0.00000000      0.00000000      0.00000000     -0.00200000
